,lyrics
133370,"Yeah yeah yeah yeah
Yeah yeah yeah yeah...
Yeah yeah yeah yeah
Yeah yeah yeah yeah...
Change of scenery
That's what I said I needed
But I just can't convince my heart
To turn away from you
You take me higher that I have been before
That's why I can't give you up
'Cause you're a part of me
I'd be incomplete without you near me
Can't give you up
'Cause we were meant to be
And I don't know how to set you free
Yeah yeah yeah yeah
Yeah yeah yeah yeah...
Yeah yeah yeah yeah
Yeah yeah yeah yeah...ah...
Disconnected
How can we find a higher ground?
I don't need perfection
Just a second chance with you
You can't deny that what we have is magic
That's why I can't give you up
'Cause you're a part of me
I'd be incomplete without you near me
Can't give you up
'Cause we were meant to be
And I don't know how to set you free
I tried to lie and take another
But you've kept haunting all my dreams
Like no others...
You take me higher that I have been before
That's why I can't give you up
'Cause you're a part of me
I'd be incomplete without you near me
Can't give you up
'Cause we were meant to be
And I don't know how to set you free
Can't give you up
'Cause you're a part of me
I'd be incomplete without you near me
Can't give you up
'Cause we were meant to be
And I don't know how to set you free...
Yeah yeah yeah yeah
Yeah yeah yeah yeah...
Yeah yeah yeah yeah
Yeah yeah yeah yeah..."
84505,"Go, people want to know
All the pleasures of
I've got my favorite place
You know just what to say
Hit me like the first time
All of your friends go there
They're not like me
I got my favorite place
You know just what to say
Kill me like you did the first time
Come on now [Repeat: x3]
Hit me like the first time
Mount this heavy snow
It's warm like a winter coat
That's my favorite place
Cause you know just what to say
Kiss me like you did the first time"
96770,"Steamin' down the muddy waters
Travelin' yonder from bay to bay
I been workin' on the barge line
Fourteen years ago today
Eighteen hours hard labor by the day
Ain't much pay for a man
[Chorus:]
Haulin' coal down the down river
And he won't be comin' home for a long time
Torches burning by the riverside
Cast their shadows Grey as stone
And the cool October days replacing
Much warmer thoughts of home
I can still see grandma sittin' on the porch
Tellin' the neighbors she's got a grandson
[Chorus]
River's rising up the marker line
While the willows softly moan
Sun is rising over the starboard shore
Paving the golden road back home
I can still see the kids jumpin' rope
But there ain't much hope for a man
[Chorus]
Haulin' coal down the down river
I'll be gone a long time
Haulin' coal down the down river
I'll be gone a long while"
25573,"I'm standing in the road and I don't mind your headlights
You say I've lost control
But you're driving down my road
With pockets full of secrets never said
I've got some things to say and I know you can relate
Kiss and tell I never tell
But I'd love to hear these words roll out your mouth
Run away with me tonight
It's getting late so sleep well angel
Because I'll be back tomorrow
We can stay up late and smoke it down
And feel the breeze beneath our feet
And chalk it up to friends with no families
We're on our own
We're okay you're okay
Just know that I am not giving up on you"
115105,"Cruzando la acera por debajo del cielo
haba un calleja.
Y hablando de flores...
All no haba flores. Qu va!
Haba una calleja
y pasaba una vieja
con un monedero.
Y hablando del cielo...
Cay dios del cielo. Corre!
Cogi las pesetas
y se fue a una caseta
t llena de...
Y hablando de flores...
All no haba flores. Qu va!"
227468,"This is just a song to say
That I'm proud for what they are
And I hope my world can take me
Half that far
Way back in Mccarthy's day
My parents left the USA
Young rebellious lovers
They left behind a nation far too proud
And powerful to say
That love transcends all colors
Some black men turned against my father
Some white men turned against my mother
Each race has their place they all would say
And with a past so battle worn
And a future begging to be born
They found a life that's growing still today
And glancing through the years
And living through their fears
I hope they can accept my goals
A bit confused, a bit unclear
And all the years behind me now
Seem like a book I've read and yet somehow
I still don't understand all the words
All the black and all the white
That rest in me that make me fight
Remind me of all the knowledge left to learn
Still some black men turned against my father
Some white men turned against my mother
Each race has their place they all would say
With a past so battle worn
And a future begging to be born
They found a life that's growing still today
And glancing through the years
And living through their fears
I hope they can accept my goals
A bit confused, a bit unclear
This is just a song to say that I'm proud for what they are
And I hope my world can take me half that far"
189363,"kanjin na toki ni wa itsumo soba ni inai
nani ga taisetsu na mono na no ka wakarou to mo shinai
daremo ga kimi ni akiakishiteru
meatarashii mono bakari oikaketeite
""furuki yoki jidai wa doko ni itta no!!""
sonna kuchiguse wa kimi ni nageku shikaku wa nai
kimi no me ni utsutteru boku no egao wa subete ga mukuwarenai
saisho kara wakatteta hazu na no ni...
kono oozora no shita e tobikonde
hitori kiri de...
boku no kowareta karada wa kimi no ude de uketomerareru kana
""shinjiru mono wa sukuwareru"" nante
iiwake jouzu na tenshi no tawagoto de kami-sama mo uso ga jouzu
boku no me ni utsutteru kimi no namida wa subete ga mayakashi de
saigo ni wa waratteta hazu na no ni...
kono oozora no shita e dakiatte
futari kiri de...
boku no kowareta kokoro ni kimi no koe ga todokimasu you ni sakende...
soshite
motto kyuuto dakishimete
nanika o eru tame ni nanika o ushinatte daremo ga kizutsuiteru
kono oozora no shita e kowasarete
hitonigiri de...
boku no yowaki na taido ni kimi no koe ga honoo o tsuketekureta kara
kono ooki na omoi ga todokanai kara
hitoomoi ni...
boku no konagona no kokoro ni kimi no yubi de saigo no todome o sashite"
13549,"De grands cieux gris inquiets
Clouent le jour balnÃ©aire au sol.
L'homme avance parmi les dunes
Il chemine en se balanÃ§ant
Il se souvient du Music Hall
Du long couloir en entonnoir
OÃ¹ la foule se dÃ©vidait
Les robes ne tenant qu'Ã  un fil
Et le trottoir mouillÃ©, mouillÃ©.
Il avance parmi les dunes
Gomina battue par le vent
Il pense qu'il est huit heures du soir
Et qu'il circule dans le couloir
OÃ¹ les Ã©paules bruissent en glissant
La foule se place au cÅur des dunes
La mer applaudit bruyamment.
""Tu ne sais pas lui dire adieu""
Lui a-t-elle dit hier au soir
""Tu n'verras pas si je pars
Ma route ne passe pas par tes yeux
Dans ta tÃªte, c'est huit heures du soir
A jamais, ici ou ailleurs
C'est le velours du grand couloir
Qu'on trouverait, si on t'ouvrait le cÅur"".
Au Casino qui toise les dunes
S'Ã©veillent les machines, hoquetant,
Quelques orphelins de la lune
S'attÃ¨lent dÃ©jÃ  consciencieusement
A cumuler de l'infortune
Un grand cafÃ© serrÃ© l'attend
PrÃ¨s des machines qui cliquÃ¨tent
En entrant, il voit la moquette
Et il voit des lumiÃ¨res d'avant.
""Tu ne sais pas leur dire adieu
Ni Ã  ces grandes lettres rouges
Ni au dÃ©sordre des entractes
Ni aux rideaux qui vont flottant
Tu te souviens du Music Hall
De rires et de gorges serrÃ©es
Et du froissement des Ã©paules
Et dehors, le trottoir mouillÃ©"".
Boulevard maritime, la maison
Au cÅur d'autres maisons muettes
Bouches closes une fois l'Ã©tÃ© passÃ©
La table mise, la femme fluette
L'assiette qu'il n'y a qu'Ã  rÃ©chauffer
Et l'hier soir qui vibre encore
Des quelques vÃ©ritÃ©s brassÃ©es
Il lui pardonne sans un effort
C'Ã©tait trop vrai pour le toucher.
Ils s'embrassent, elle part travailler
Elle a le pardon du fantÃ´me
Et l'espoir indÃ©boulonnÃ©
L'amour se cabre dans le hall
OÃ¹ le souvenir l'a condamnÃ©
Avec la grande tristesse bravache
Des fins de soirÃ©es dÃ©glinguÃ©es
OÃ¹ les vÃªtements font relÃ¢che
Et le cÅur est dÃ©shabillÃ©.
Et sous les cieux gris qui s'inquiÃ¨tent
Dans les dunes ou au Casino
Parmi les machines qui hoquÃ¨tent
Il regarde, il voit des cerceaux
De feu qui brunissent la moquette
Et il voit tomber des rideaux
Des mains qui claquent dans la tempÃªte
Au dehors.
Et il voit les lettres
Rouges, et le couloir cramoisi
Et tout le possible des nuits
Qui s'affiche, rouge, en toutes lettres
Et rien de tout Ã§a n'est fini
L'amour s'y niche, inentamÃ©
Et tous les adieux s'y empÃªtrent
Comment dire adieu Ã  la vie?
Il se souvient du music hall
Du long couloir en entonnoir
OÃ¹ la foule se dÃ©vidait
Les robes ne tenant qu'Ã  un fil
Et le sable mouillÃ©, mouillÃ©."
256871,"Maybe I didn't love you
Quite as often as I could have
Maybe I didn't treat you
Quite as good as I should have
If I made you feel second best
I'm so sorry I was blind
You were always on my mind
You were always on my mind
Maybe I didn't hold you
All those lonely, lonely times
And I guess I never told you
I'm so happy that you're mine
Little things I should have said and done, oh
I just never took the time, oh yeah, oh yeah
You were always on my mind, oh, oh yeah
You were always on my mind
Baby, tell me
Tell me that your sweet love hasn't died, oh yeah
Baby, give me
Give me one more chance to keep you satisfied
Because you were always on my mind
Oh, oh yeah
Oh yeah
You were always on my mind
You were always on my mind, yeah
Oh, you
Every day that we have
You were always on my mind
Oh yeah
You were always on my mind"
59462,"Good Morning mister, how are you?
Are we sleeping the whole night through
Or Hearing voices in the hall!
I have the Shots but it's your call
Good morning mister, hows it been?
Your Daily breads a daily Sin
A fist in the skulls worth two in the bush
You're feeling lucky right now
Or does your brain need a push?
Is it just me or is it just medication?
Good Morning mister, hows it been?
Your daily breads a daily sin
Look at the mighty how they fall
I have the shots but it's your call
Your fifty minutes is up up up up
A fist in the skulls worth two in the bush
You're feeling lucky right now
Or does your brain need a push?
Is it just me or is it just medication?
Your fifteen minutes is up up up up
A fist in the skulls worth two in the bush
Your feeling lucky right now
Or does your brain need a push?
Is it just me or is it just medication? medication
A fist in the skulls worth two in the bush
You're feeling lucky right now
Or does your brain need a push?
Is it just me or is it just medication? medication
Your fifteen minutes is up up up up
A fist in the skulls worth two in the bush
Your feeling lucky right now
Or does your brain need a push?
Is it just me or is it just medication? medication
A fist in the skulls worth two in the bush
You're feeling lucky right now
Or does your brain need a push?
Is it just me or is it just medication?"
